team1,team2,winner
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,Delhi Capitals
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
Deccan Chargers,Delhi Capitals,Delhi Capitals
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Deccan Chargers,Rajasthan Royals,Chennai Super Kings
Kings XI Punjab,Mumbai Indians,Kings XI Punjab
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
Kings XI Punjab,Delhi Capitals,Kings XI Punjab
Mumbai Indians,Deccan Chargers,Deccan Chargers
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
Deccan Chargers,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Delhi Capitals,Delhi Capitals
Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
Mumbai Indians,Delhi Capitals,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Deccan Chargers
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Delhi Capitals,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Rajasthan Royals,Deccan Chargers,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Delhi Capitals,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Delhi Capitals,Deccan Chargers,Delhi Capitals
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
Delhi Capitals,Kings XI Punjab,Kings XI Punjab
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Deccan Chargers,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi Capitals,Kolkata Knight Riders,Match abandoned
Kings XI Punjab,Deccan Chargers,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
Delhi Capitals,Mumbai Indians,Delhi Capitals
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Rajasthan Royals
Deccan Chargers,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
Delhi Capitals,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
Delhi Capitals,Kings XI Punjab,Delhi Capitals
Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
