team1,team2,total_matches,team1_wins,team2_wins,team1_win_percentage,team2_win_percentage
Sunrisers Hyderabad,Mumbai Indians,25,10,14,40.0,56.0
Sunrisers Hyderabad,Royal Challengers Bangalore,26,13,12,50.0,46.15
Sunrisers Hyderabad,Kolkata Knight Riders,29,10,19,34.48,65.52
Sunrisers Hyderabad,Kings XI Punjab,24,17,5,70.83,20.83
Sunrisers Hyderabad,Chennai Super Kings,22,6,16,27.27,72.73
Sunrisers Hyderabad,Rajasthan Royals,21,11,10,52.38,47.62
Sunrisers Hyderabad,Delhi Capitals,24,12,11,50.0,45.83
Sunrisers Hyderabad,Gujarat Titans,5,1,3,20.0,60.0
Sunrisers Hyderabad,Lucknow Super Giants,4,1,3,25.0,75.0
Mumbai Indians,Royal Challengers Bangalore,32,18,14,56.25,43.75
Mumbai Indians,Kolkata Knight Riders,36,24,12,66.67,33.33
Mumbai Indians,Kings XI Punjab,31,17,11,54.84,35.48
Mumbai Indians,Chennai Super Kings,40,23,17,57.5,42.5
Mumbai Indians,Rajasthan Royals,31,15,15,48.39,48.39
Mumbai Indians,Delhi Capitals,35,19,16,54.29,45.71
Mumbai Indians,Gujarat Titans,5,2,3,40.0,60.0
Mumbai Indians,Lucknow Super Giants,6,1,5,16.67,83.33
Royal Challengers Bangalore,Kolkata Knight Riders,36,15,20,41.67,55.56
Royal Challengers Bangalore,Kings XI Punjab,34,17,14,50.0,41.18
Royal Challengers Bangalore,Chennai Super Kings,34,12,21,35.29,61.76
Royal Challengers Bangalore,Rajasthan Royals,34,16,14,47.06,41.18
Royal Challengers Bangalore,Delhi Capitals,32,19,12,59.38,37.5
Royal Challengers Bangalore,Gujarat Titans,5,3,2,60.0,40.0
Royal Challengers Bangalore,Lucknow Super Giants,5,3,2,60.0,40.0
Kolkata Knight Riders,Kings XI Punjab,34,22,9,64.71,26.47
Kolkata Knight Riders,Chennai Super Kings,29,10,18,34.48,62.07
Kolkata Knight Riders,Rajasthan Royals,30,13,15,43.33,50.0
Kolkata Knight Riders,Delhi Capitals,34,18,15,52.94,44.12
Kolkata Knight Riders,Gujarat Titans,4,1,2,25.0,50.0
Kolkata Knight Riders,Lucknow Super Giants,5,2,3,40.0,60.0
Kings XI Punjab,Chennai Super Kings,30,8,16,26.67,53.33
Kings XI Punjab,Rajasthan Royals,28,8,16,28.57,57.14
Kings XI Punjab,Delhi Capitals,34,15,17,44.12,50.0
Kings XI Punjab,Gujarat Titans,5,0,3,0.0,60.0
Kings XI Punjab,Lucknow Super Giants,4,0,3,0.0,75.0
Chennai Super Kings,Rajasthan Royals,29,16,13,55.17,44.83
Chennai Super Kings,Delhi Capitals,33,22,11,66.67,33.33
Chennai Super Kings,Gujarat Titans,8,3,4,37.5,50.0
Chennai Super Kings,Lucknow Super Giants,5,1,3,20.0,60.0
Rajasthan Royals,Delhi Capitals,30,14,16,46.67,53.33
Rajasthan Royals,Gujarat Titans,6,1,5,16.67,83.33
Rajasthan Royals,Lucknow Super Giants,5,4,1,80.0,20.0
Delhi Capitals,Gujarat Titans,5,3,2,60.0,40.0
Delhi Capitals,Lucknow Super Giants,5,2,3,40.0,60.0
Gujarat Titans,Lucknow Super Giants,5,4,1,80.0,20.0
